District,Avg-housePrice,Latitude,Longitude
Beitou,45026000,25.115176,121.515018
Daan?,65344000,25.026158,121.542709
Datong,66177125,25.062724,121.511306
Nangang?,43702353,25.031235,121.611195
Neihu,107481500,25.068942,121.590903
Shilin,93784211,25.095049,121.524608
Songshan,148549546,25.055296,121.554126
Wanhua,206567333,25.026286,121.497029
Wenshan,30280000,24.982374,121.580459
Xinyi,37721875,25.028702,121.576957
Zhongshan,77936800,25.079202,121.542709
Zhongzheng,71659091,25.042141,121.519872
